id,name,address,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,all_reviews_count,photo_count,has_online_delivery
3701108,Krishna Fast Food,"188, Lawspet Main Road, Pakkamudayanpet, Puducherry",Lawspet,11.94752952,79.80994932,South Indian,150,0,Not rated,0,0,1,0
3700128,Sree Krishna Fast Food,"168, Pakkamudiyanpet, Lawspet, Puducherry",Lawspet,11.94745801,79.80988596,South Indian,150,0,Not rated,0,0,3,0
18969042,Le Hotbakes,"No 176, Lawspet Main Road, Pakkamudayanpet, Lawspet, Puducherry",Lawspet,11.94717625,79.80993357,Bakery,300,0,Not rated,1,0,0,0
18882536,RKN Hotel,"Bharathy street, Thiruvalluvar(T.V) nagar, Puducherry - 605001, Lawspet, Puducherry",Lawspet,11.94173445,79.82837778,Indian,400,0,Not rated,2,0,0,0
3700419,No. 1 Nafura,"Anna Salai, Opposite Anandha Inn Hotel, Heritage Town, Puducherry",Heritage Town,11.94215,79.82994167,"South Indian, Chinese, Biryani",200,0,Not rated,0,0,3,0
3700349,The Nile,"2A, Anna Salai, Near Anandha Marriage Hall, Heritage Town, Puducherry",Hot Cold Bar & Restaurants,11.94143332,79.82815616,"Chinese, North Indian, South Indian, Continental",300,0,Not rated,1,0,8,0
19527366,Momo Kitchen,"42, Othavadai Street, Thendral Nagar, Heritage Town, Puducherry",Heritage Town,11.941547,79.816567,"Momos, Pizza, Fast Food",350,0,Not rated,5,1,0,1
19292422,Wow Cane,"1, Bharathi Street, Opposite Anandha Inn Hotel, Heritage Town, Puducherry",Heritage Town,11.94144438,79.82843184,Juices,100,0,Not rated,1,1,6,0
3700345,A1 Fast Food & Tiffin Center,"SV Patel Salai, Opposite Anandha Inn, Heritage Town, Puducherry",Heritage Town,11.94157208,79.82895613,South Indian,200,0,Not rated,3,1,4,0
19063159,Khans Kitchen,"50, ECR, Miwas Tower, Kottakuppam, Puducherry",Kottukuppam,11.966799,79.837645,Chinese,300,0,Not rated,0,0,0,0
19215253,Jigarthanda Factory,"173, SV Patel Road, Heritage Town, Puducherry",Heritage Town,11.94180369,79.83071874,"Beverages, Ice Cream, Fast Food",200,0,Not rated,1,0,0,0
19330876,Srithanya Fresh Juice & Shawarma Corner,"118, Sri Ranga Nagar, Marrie Oulgarate, Near Mani Wine Shop, Mettupalayam, Gandhinagar, Puducherry",Gandhinagar,11.931561,79.816989,"Beverages, Lebanese",200,0,Not rated,1,1,0,0
18867055,DL ZUICERS & CAKERS,"29, Devi Illam Cudalore Road, next to Providence Mall, Heritage Town, Puducherry",Heritage Town,11.92864317,79.81957376,"Ice Cream, Desserts",200,0,Not rated,1,0,3,0
3701103,Tea Point,"Providence Mall, Cuddalore Road, Orleanpet, Puducherry, MG Road, Puducherry",MG Road,11.92879243,79.82031304,Beverages,100,0,Not rated,2,1,2,0
3701099,Nahz Biryani and Fast Food,"183, MMA Salai, Orleanpet, Puducherry, MG Road, Puducherry",MG Road,11.93183494,79.81561113,Biryani,250,0,Not rated,0,0,1,0
19293174,A Star Kitchen,"2A, I Cross, Sathyasai Nagar Extension, Reddiarpalayam Lawspet, Puducherry",Lawspet,11.927917,79.819179,"Biryani, Chinese",300,0,Not rated,6,2,0,1
3700335,Hotel Annapoorna,"191, MMA Salai, MG Road, Puducherry",MG Road,11.92948889,79.81536111,"South Indian, Chinese",400,0,Not rated,5,1,6,1
19223366,Richy Rich (KR Foods),"261, Maraimalai Adigal Salai, Nellithope, Heritage Town, Puducherry",Heritage Town,11.93229094,79.81350567,"Ice Cream, Pizza, Sandwich, Burger, Desserts, South Indian",350,0,Not rated,14,1,0,1
19512628,BBQ Xpress,"238, M.M Salai, Near Bus Stand, MG Road, Puducherry",MG Road,11.932669,79.813124,Fast Food,200,0,Not rated,0,0,0,1
19478100,Shawarma Doner,"246, Thiruvalluvar Salai, Opposite Shanmuga Cinemas, Raja Nagar, Kuyavarpalayam, Heritage Town, Puducherry",Heritage Town,11.934796,79.813952,Lebanese,250,0,Not rated,2,0,0,1
19403019,Orange Sweets & Bakery,"290, Maraimalai Adigal Salai, Nellithope, Heritage Town, Puducherry",Heritage Town,11.932807,79.812613,"Rolls, Beverages",300,0,Not rated,0,0,0,1
